id,project_id,entry_date,is_completed
1,464,,0
2,465,,0
3,466,,0
4,467,,0
5,468,,0
6,469,,0
7,470,,0
8,471,,0
9,472,,0
10,473,,0
11,474,,0
12,475,,0
13,476,,0
14,477,,0
15,478,,0
16,479,,0
17,480,,0
18,481,,0
19,482,,0
20,483,,0
21,484,,0
22,485,,0
23,486,,0
24,487,,0
25,488,,0
26,489,,0
27,490,,0
28,491,,0
29,492,,0
30,493,,0
31,494,,0
32,495,,0
33,496,,0
34,497,,0
35,498,,0
36,499,,0
37,500,,0
38,501,,0
39,502,,0
40,503,,0
41,504,,0
42,505,,0
43,506,,0
44,507,,0
45,508,,0
46,509,,0
47,510,,0
48,511,,0
49,512,,0
50,513,,0
51,514,,0
52,515,,0
53,516,,0
54,517,,0
55,518,,0
56,519,,0
57,520,,0
58,521,,0
59,522,,0
60,523,,0
61,524,,0
62,525,,0
63,526,,0
64,527,,0
65,528,,0
66,529,,0
67,530,,0
68,531,,0
69,532,,0
70,533,,0
71,534,,0
72,535,,0
73,536,,0
74,537,,0
75,538,,0
76,539,,0
77,540,,0
78,541,,0
79,542,,0
80,543,,0
81,544,,0
82,545,,0
83,546,,0
84,547,,0
85,548,,0
86,549,,0
87,550,,0
88,551,,0
89,552,,0
90,553,,0
91,554,,0
92,555,,0
93,556,,0
94,557,,0
95,558,,0
96,559,,0
97,560,,0
98,561,,0
99,562,,0
100,563,,0
101,564,,0
102,565,,0
103,566,,0
104,567,,0
105,568,,0
106,569,,0
107,570,,0
108,571,,0
109,572,,0
110,573,,0
111,574,,0
113,576,,0
114,577,,0
116,579,,0
117,580,,0
118,581,,1
119,582,2025-10-15,1
120,583,2025-10-15,1
121,584,,0
122,585,,0
123,586,,0
124,587,,0
125,588,,0
126,589,,0
127,590,,0
128,591,,0
129,592,,0
130,593,2025-10-15,1
131,594,,0
132,595,,0
133,596,2025-10-15,1
134,597,2025-10-15,1
135,598,2025-10-15,1
136,599,2025-10-15,1
137,600,,0
138,601,,0
139,602,,0
140,603,,0
141,604,,0
142,605,,0
143,606,,0
144,607,,0
145,608,,0
146,609,,0
147,610,,0
148,611,,0
149,612,,0
150,613,,0
151,614,,0
152,615,,0
153,616,,0
154,617,,0
155,618,,0
156,619,,0
157,620,,0
158,621,,0
159,622,,0
160,623,,0
161,624,,0
162,625,,0
163,626,,0
164,627,,0
165,628,,0
166,629,,0
167,630,,0
168,631,,0
169,632,,0
170,633,,0
171,634,,0
172,635,,0
173,636,,0
174,637,,0
175,638,,0
176,639,,0
177,640,,0
178,641,,0
179,642,,0
180,643,,0
181,644,,0
182,645,,0
183,646,,0
184,647,,0
185,648,,0
186,649,,0
187,650,,0
188,651,,0
189,652,,0
190,653,,0
191,654,,0
192,655,,0
193,656,,0
194,657,,0
195,658,,0
196,659,,0
197,660,,0
198,661,,0
199,662,,0
200,663,,0
201,664,,0
203,666,,0
204,667,,0
205,668,,0
206,669,,0
207,670,,0
208,671,,0
209,672,,0
210,673,,0
211,674,,0
212,675,,0
213,676,,0
214,677,,1
215,678,,1
216,679,,0
217,680,,0
218,681,,0
219,682,,0
220,683,,0
221,684,,0
222,685,,0
223,686,,1
224,687,2025-10-28,1
225,688,2025-10-28,1
226,689,,0
227,690,,0
228,691,,0
229,692,,0
230,693,,1
231,694,2025-10-27,1
232,695,,0
233,696,,0
234,697,,0
235,698,,0
236,699,,0
237,700,,0
238,701,,0
239,702,,0
240,703,,0
241,704,,0
242,705,,0
243,706,,0
244,707,,0
245,708,,0
246,709,,0
247,710,,0
248,711,,0
249,712,,0
250,713,,0
251,714,,0
252,715,,0
253,716,,0
254,717,,0
255,718,,0
256,719,,0
257,720,,0
258,721,,0
259,722,,0
260,723,,0
261,724,,0
