id,job_number,checklist_item_id,is_checked,checked_date,does_not_apply
10,35371,2,0,,0
11,35140,2,0,,0
12,35256,2,0,,0
13,35154,2,0,,0
14,35359,2,0,,0
18,35167,2,0,,0
19,35332,2,0,2025-10-15 16:23:49,0
20,35394,2,0,,0
21,35371,3,0,,0
22,35140,3,0,,0
23,35256,3,0,,0
24,35154,3,0,,0
25,35359,3,0,,0
26,35394,3,0,,0
28,35332,3,0,,0
29,35167,3,0,,0
30,35042,2,0,,0
31,35042,3,0,,0
32,35371,4,0,,0
33,35140,4,0,,0
34,35256,4,0,,0
35,35154,4,0,,0
36,35359,4,0,,0
37,35394,4,0,,0
38,35042,4,0,,0
39,35332,4,0,,0
40,35167,4,0,,0
41,35371,5,0,,0
42,35140,5,0,,0
43,35256,5,0,,0
44,35154,5,0,,0
45,35359,5,0,,0
46,35394,5,0,,0
47,35042,5,0,,0
48,35332,5,0,,0
49,35167,5,0,,0
50,35371,6,0,,0
51,35140,6,0,,0
52,35256,6,0,,0
53,35154,6,0,,0
54,35359,6,0,,0
55,35394,6,0,,0
56,35042,6,0,,0
57,35332,6,0,,0
58,35167,6,0,,0
59,35371,7,0,,0
60,35140,7,0,,0
61,35256,7,0,,0
62,35154,7,0,,0
63,35359,7,0,,0
64,35394,7,0,,0
65,35042,7,0,,0
66,35332,7,0,,0
67,35167,7,0,,0
68,35371,8,0,,0
69,35140,8,0,,0
70,35256,8,0,,0
71,35154,8,0,,0
72,35359,8,0,,0
73,35394,8,0,,0
74,35042,8,0,,0
75,35332,8,0,,0
76,35167,8,0,,0
77,35371,9,0,,0
78,35140,9,0,,0
79,35256,9,0,,0
80,35154,9,0,,0
81,35359,9,0,,0
82,35394,9,0,,0
83,35042,9,0,,0
84,35332,9,0,,0
85,35167,9,0,,0
