name,seq
designers,1660
engineers,1245
app_order,830
projects,724
heater_models,76
locations,38
heater_diameters,76
heater_heights,209
heater_stack_diameters,57
applications,38
materials,38
burner_models,114
gas_train_positions,38
heater_mounting_types,38
gauge_cocks_types,38
temperature_switch_types,38
packaging_types,38
mod_piping_transducer_materials,38
hose_materials,38
media_frame_heights,57
gas_types,38
heater_configurations,20
drawings,61
printer_config,12
initial_redline,407
redline_updates,1628
ops_review,407
peter_weck_review,407
release_to_dee,407
d365_bom_entry,261
drafting_checklist_items,9
project_checklist_status,85
file_changes,3273
project_structure,14704
project_scan_history,308
departments,477
app_settings,3
admin_sessions,1
users,4
drawing_reviews,44
print_package_reviews,1
print_package_files,1
print_package_workflow,8
